ï»¿web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554326248-682,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@ncldorg,NCLD,"Yeah, I guess you could say everybody is â€˜poorâ€™ but in reality the issue is the theft / impossible costs of college. #CollegeScam",0,0,0,1.54E+12,9/30/2018 23:44,/ncldorg/status/1108350728005996547
1554326248-644,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@Richmondmom,Richmond Mom,theyâ€™re producing snowflake protestors for 10s of thousands of $$$$ #CollegeScam https://twitter.com/WSJ/status/912980173099855872Â â€_,0,0,0,1.54E+12,10/1/2018 8:11,/Richmondmom/status/1110981476085051392
1554326248-905,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@anthoknees,yâ€™all donâ€™t read,"If you think youâ€™ve been defrauded by a college, here is what you should do. http://ow.ly/SyZ630m2HRlÂ  #CollegeScam @ScholarKeys",0,0,0,1.54E+12,10/3/2018 10:20,/anthoknees/status/1105834387617337346
1554326248-994,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@rashadrobinson,Rashad Robinson,"Unemployed college grads shackled by debt: A generation is being forced to forget about home ownership or financial independence.
https://www.theguardian.com/money/2018/oct/04/student-loan-crisis-threatens-a-generations-american-dreamÂ â€_
 #CollegeScam
 #StudentDebt
 #CollegeDebts
 #bizmodel
 #UniversityChallenge",0,0,0,1.54E+12,10/4/2018 12:11,/rashadrobinson/status/1105631722383785984
1554326248-636,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@philanthrodaily,Philanthropy Daily,Joe Rogan and Geoffrey Miller Discusses Whether or Not College a Scam https://youtu.be/47FkE4ThwAcÂ  #joerogan #geoffreymiller #collegescam,0,0,0,1.54E+12,10/7/2018 9:06,/philanthrodaily/status/1110541208793669638
1554326248-651,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@JanSmit56615611,Jan Smith,"Aunty we admire ur desperation for dirty money.
You are proving to go to any extent for traitor bucks.
Hope we also get to visit ur chori laden house someday.
Also, #ChorIshan would soon start getting his loot from the #AdmissionScam education.
à_†à_ªà_•à__ à_¸à_° à__à¥‹ à_˜à¥€ à_•à¥€ à_•à_¢à__à__à_ˆ à_®à¥‡à_‚",0,0,1,1.54E+12,11/13/2018 8:29,/JanSmit56615611/status/1110645789401841664
1554326248-952,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@jennajameson,Jenna Jameson,"Nope...
Donâ€™t buy the â€œI need a college degree to become successful BS.â€ù
It just isnâ€™t true anymore.
.
What do you think?
.
#collegescam #danielalonzo #college #overthinker #entrepreneurâ€_ https://www.instagram.com/p/BqnjUz9FVsB/?utm_source=ig_twitter_share&igshid=1lxetfjsib4kcÂ â€_",0,1,2,1.54E+12,11/25/2018 13:14,/jennajameson/status/1105685718620225537
1554326248-673,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@DataGeekB,Beth Jarosz,"COLLEGE IS A SCAM 
Find Out Why You Shouldn't Go To College and Why It's a Waste of Your Time 
https://www.youtube.com/watch?v=wRUeAt90p4gÂ â€_
#craboutthebucket #collegescam #collegeisawaste #college",0,0,1,1.54E+12,11/30/2018 7:52,/DataGeekB/status/1108715214156021761
1554326248-833,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@traderjohnt1,traderjohnt1,#RealShit My uncle jus told me he jus finished paying off his student loans last week.. nigga is 56 years old #CollegeScam,0,0,3,1.55E+12,2/7/2019 10:13,/traderjohnt1/status/1106009445778276352
1554326248-783,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@TwitterMoments,Twitter Moments,"If it cost $6 million to bribe elite colleges, including #Yale, #Stanford, #Georgetown and #USC for admission would you do it? #CollegeAdmissionsScam Learn more on @thelauracoates showhttps://abc7news.com/actresses-ceos-charged-in-alleged-college-admissions-scam/5186103/Â â€_",2,4,3,1.55E+12,3/12/2019 7:52,/TwitterMoments/status/1106295862324531203
