•ÈÀweb-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554331201-4074,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@THR,Hollywood Reporter,"Elizabeth Warren says she has ""zero"" sympathy for the parents involved in the #CollegeAdmissionScandal

Oh come on Warren, you can at least be 1/1024th sympathetic, can‰Ûªt ya? pic.twitter.com/YJHq1AJlG7",518,1.9K,6.8K,1.55E+12,3/13/2019 20:11,/THR/status/1106363912918913024
1554331201-4177,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@ccpecknold,C. C. Pecknold,"When I got accepted into college, my parents gave me $200

My mom blessed them and grabbed my hand & crying said ""this is all we can give you, please forgive us""

The day I spent that money, I cried, because I knew that was all they had for my education

#CollegeCheatingScandal",128,7.3K,55K,1.55E+12,3/14/2019 9:00,/ccpecknold/status/1106158402454081536
1554331201-4007,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@RogueRepub1981,Rogue Republican,"My college freshman son Lezine is home for spring break. He got accepted at 13 schools on his own merit.

Lori Loughlin‰Ûªs daughter was spending spring break in the Bahamas on the yacht of the billionaire chair of USC‰Ûªs trustee board.

#ThursdayThoughts
#CollegeCheatingScandal",150,991,4.7K,1.55E+12,3/14/2019 3:49,/RogueRepub1981/status/1106762429046947840
1554331201-4111,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@TwitterMoments,Twitter Moments,"As we all focus our attention on the horrific #CollegeCheatingScandal, let's also recall the time when Donald Trump settled a $25 million lawsuit that alleged that he had defrauded students at the FAKE Trump University.

Our President is a fraudster!

Let's start from the top!",98,1.0K,3.0K,1.55E+12,3/13/2019 19:02,/TwitterMoments/status/1106295862324531203
1554331201-3794,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@samsoto007,Swarley,"Remember how Republicans attacked 'liberals' because they assumed Lori Loughlin and her husband Mossimo Giannulli, two individuals allegedly involved in the #CollegeCheatingScandal were ""liberals?""

Turns out Giannulli is a rabid Trump supporter!

Another EPIC fail by the right!",139,974,2.9K,1.55E+12,3/16/2019 8:02,/samsoto007/status/1112347592975941633
1554331201-4227,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@fedupwarrior4q,‰Î fedup4Q17,The @hallmarkchannel has stopped development of all productions involving actor Lori Loughlin. #CollegeAdmissionsScandal https://twitter.com/i/events/1106290750830989313åÊ‰Û_,234,642,2.9K,1.55E+12,3/14/2019 13:47,/fedupwarrior4q/status/1105991558707511297
1554331201-4072,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@tonetalks,Antonio Moore,Couple wks ago I got into it with for 10th time with #CollegeCheatingScandal DAD at big party cause his sloppy ass was rambling on again about Trump & people carrying their own weight & his own conservative politics being ‰ÛÏright of Attila the Hun‰Û He embarrassed Scandal Mom again,206,440,2.0K,1.55E+12,3/13/2019 16:33,/tonetalks/status/1106366499634073601
1554331201-3807,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@OOTBigFan,Big Fan,"THREAD: I'm a huge advocate of college journalism -- hard not to be when it led me to where I am today.  Given the #CollegeCheatingScandal, I wanted to see how college newsrooms were reporting on their own universities. There's so much more to this than Aunt Becky.",43,845,1.8K,1.55E+12,3/15/2019 9:24,/OOTBigFan/status/1111743040765353985
1554331201-3932,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@ajplus,AJ+,And people are acting like stupid kids getting into Yale is something new. #CollegeCheatingScandal pic.twitter.com/HAXRa3wTGZ,73,469,1.8K,1.55E+12,3/13/2019 15:54,/ajplus/status/1107812934166761472
1554331201-3759,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@AliceDedonato,Alice DeDonato,"This is what BIG BIG BIG HAPPENINGS looks like...

Ohr/Page/Strzok/Steele transcripts released
Nunes sues Twitter, says more coming
WaPo/CNN lawsuits
#CollegeCheatingScandal
Weissman steps down from Mueller's team
Solid proof that No Name was spreading the Dossier

Comfy AF.  pic.twitter.com/twufo3E1sp",96,818,1.5K,1.55E+12,3/19/2019 6:56,/AliceDedonato/status/1112730231096438792
