"Yeah, I guess you could say everybody is â€˜poorâ€™ but in reality the issue is the theft / impossible costs of college. #CollegeScam",9/30/2018
theyâ€™re producing snowflake protestors for 10s of thousands of $$$$ #CollegeScam https://twitter.com/WSJ/status/912980173099855872Â â€_,10/1/2018
"If you think youâ€™ve been defrauded by a college, here is what you should do. http://ow.ly/SyZ630m2HRlÂ  #CollegeScam @ScholarKeys",10/3/2018
"Unemployed college grads shackled by debt: A generation is being forced to forget about home ownership or financial independence.
https://www.theguardian.com/money/2018/oct/04/student-loan-crisis-threatens-a-generations-american-dreamÂ â€_
 #CollegeScam
 #StudentDebt
 #CollegeDebts
 #bizmodel
 #UniversityChallenge",10/4/2018
Joe Rogan and Geoffrey Miller Discusses Whether or Not College a Scam https://youtu.be/47FkE4ThwAcÂ  #joerogan #geoffreymiller #collegescam,10/7/2018
"Aunty we admire ur desperation for dirty money.
You are proving to go to any extent for traitor bucks.
Hope we also get to visit ur chori laden house someday.
Also, #ChorIshan would soon start getting his loot from the #AdmissionScam education.
à_†à_ªà_•à__ à_¸à_° à__à¥‹ à_˜à¥€ à_•à¥€ à_•à_¢à__à__à_ˆ à_®à¥‡à_‚",11/13/2018
"Nope...
Donâ€™t buy the â€œI need a college degree to become successful BS.â€ù
It just isnâ€™t true anymore.
.
What do you think?
.
#collegescam #danielalonzo #college #overthinker #entrepreneurâ€_ https://www.instagram.com/p/BqnjUz9FVsB/?utm_source=ig_twitter_share&igshid=1lxetfjsib4kcÂ â€_",11/25/2018
"COLLEGE IS A SCAM 
Find Out Why You Shouldn't Go To College and Why It's a Waste of Your Time 
https://www.youtube.com/watch?v=wRUeAt90p4gÂ â€_
#craboutthebucket #collegescam #collegeisawaste #college",11/30/2018
#RealShit My uncle jus told me he jus finished paying off his student loans last week.. nigga is 56 years old #CollegeScam,2/7/2019
NEXT! The Voice of the #Georgetown #Hoyas Rich Chvotkin (@HoyasWin) joins @AlGaldi talking @GeorgetownHoops big win over #Villanova LIVE on @team980 & The Team 980 App!pic.twitter.com/J80v0SckrJ,2/21/2019
"Where is my coffee?
.
#penang #penangisland #travel #georgetown #food #yummy #foodie #recipes #delicious #instacool #picoftheday #instagood #foodoftheday #tagsforlikes #potd #follow @â€_ https://www.instagram.com/p/BsFbpsWB3Rs/?utm_source=ig_twitter_share&igshid=1m6m50anjoeb6Â â€_",1/1/2019
"Our 1st day in Washington was supposed to be spent at the #SmithsonianAfricanAmericanMuseum but the government #ShutDown changed all of that. No worries, we hit #Georgetown instead. Soâ€_ https://www.instagram.com/p/BsM9l9ahP-X/?utm_source=ig_twitter_share&igshid=1t3n2xs82jxv9Â â€_",1/3/2019
"With so many #delicious options, it can be hard to choose only one! What was your favorite menu item in 2018? 
#LaChaumiereDC #DCEats #FrenchCuisine  #Georgetown #NewYearNewMepic.twitter.com/ZMM82orbUN",1/1/2019
"If US went 100% renewable electric gen by 2030, it would = .7% reduction of CO2 by 2050. Ask #Georgetown TX if it's worth it. Glad you brought up PM; we are #winning. Our #oil and #natgas production in the US ; while PM , Life Expectancy , Poverty . #LifePoweredpic.twitter.com/CTSyL69eg0",2/12/2019
"Are you ready for some #Football?! Post up & watch #SuperBowLIII while sipping and snacking @CityWineryDC @JackRoseinDC @PennCommonsDC @ICSHDC @citytappennqtr @eatyourpizza #Georgetown @WCWharf + many more~
http://www.thelistareyouonit.com/calendar/action~oneday/exact_date~3-2-2019/Â â€_pic.twitter.com/yMltY1Ku3S",1/31/2019
"Washington Has A Dark Secret!
https://www.amazon.com/s/ref=nb_sb_noss_2?url=search-alias%3Daps&field-keywords=maszkaÂ â€_
#Maszka #OrangeCounty #LaStampa #WaPo #AlAhram #cinemax #MGM #Youtube #Iran #Trump #Forbes #snapchat #Reuters #FoxNews #GMA #Yahoo #VanityFair #PennState #NYU #Georgetown #storytellers #BelfastTelegraph #eveningnews #theviewpic.twitter.com/wSqT1lh7Sa",1/1/2019
Ringing in the new year with @tonyandjoes on the #Georgetown waterfront. Impressed that they stocked up at @Costco for the premium party! #riverbash2019 #riverfailpic.twitter.com/ywFiXAAaJ2,12/31/2018
#Georgetown signee @malcwil33 with another dunk. Been big on both ends tonight. @RidgeViewHoops leads 66-43 5:28 left #thestatepic.twitter.com/HOQwUDNjdo,2/19/2019
"Happy New Year Hoyas! Jack is rolling right on into 2019! 


 #GUSOM #Georgetown #GeorgetownUniversity #MedSchool #NewYear #HappyNewYear #Jackthebulldog #Skateboard #holiday #winterbreakpic.twitter.com/d3xVmWZHH8",1/1/2019
"Year 2 of the Patrick Ewing Era has brought significant progress for @GeorgetownHoops. Hoyas have already matched their win total from all of last season at 15.

#Georgetown commands Providence at The Dunk and the #Hoyas improve to 5-5 in @BIGEASTMBB. Next Up: Butler on Saturday.",2/6/2019
The good ole days are back!!! #ncaa #StJohns #Georgetown #cbssports Mullin vs Ewing   And itâ€™s going to #overtime !!!pic.twitter.com/5bZgJgRZZv,1/5/2019
"#Postcards with the beautiful view of the Georgetown waterfront, Key Bridge, and Potomac River in Washington DC - https://www.zazzle.com/z/1t44r?rf=238698262643940379Â â€_ #WashingtonDC #potomacriver #georgetown pic.twitter.com/8CLMbWlUnB",1/2/2019
"Happy new year from my favourite town, Georgetown! 

#georgetown #penangisland #aa12go @ George Town, Malaysia https://www.instagram.com/p/BsFIOdcnkZ1/?utm_source=ig_twitter_share&igshid=w97kfsmsx6zpÂ â€_",12/31/2018
