content,replies,retweets,favorites,published_date,polarity,subjectivity
"Yeah, I guess you could say everybody is poor but in reality the issue is the theft / impossible costs of college. #CollegeScam",0.0,0,0,9/30/18 23:44,-0.5333333333333333,0.8
Unemployed college grads shackled by debt: A generation is being forced to forget about home ownership or financial independence.https://www.theguardian.com/money/2018/oct/04/student-loan-crisis-threatens-a-generations-american-dream_ #CollegeScam #StudentDebt #CollegeDebts #bizmodel #UniversityChallenge,0.0,0,0,10/4/18 12:11,-0.15000000000000002,0.1
"Aunty we admire ur desperation for dirty money.You are proving to go to any extent for traitor bucks.Hope we also get to visit ur chori laden house someday.Also, #ChorIshan would soon start getting his loot from the #AdmissionScam education._____ __ __ _ _ _______ __",0.0,0,1,11/13/18 8:29,-0.6,0.8
COLLEGE IS A SCAM Find Out Why You Shouldn't Go To College and Why It's a Waste of Your Time https://www.youtube.com/watch?v=wRUeAt90p4g_#craboutthebucket #collegescam #collegeisawaste #college,0.0,0,1,11/30/18 7:52,-0.2,0.0
This @FelicityHuffman college scam thing is not cool at all. #CollegeScam,0.0,1,1,3/12/19 8:02,-0.175,0.65
Imagine being this pathetic? #LoriLoughlin #FelicityHuffman #CollegeAdmissionsScandal https://twitter.com/TheRyanParker/status/1105486933679955970_,0.0,2,2,3/12/19 8:19,-1.0,1.0
"At least 40 people, including two Hollywood actresses, have been indicted by the FBI and the U.S. attorney's office in Boston in a nationwide college entrance exam cheating scandal. http://bit.ly/2HeIwxV#College #University #CollegeEducation #collegeadmissions #collegescandal pic.twitter.com/MJP6ZSIpqT",0.0,0,0,3/12/19 8:35,-0.3,0.4
It's hard to believe @LoriLoughlin or @FelicityHuffman would be involved.#CollegeAdmissionsScandal,0.0,1,5,3/12/19 8:37,-0.2916666666666667,0.5416666666666666
Prosecutor: Bribes were paid to coaches at elite schools to accept students under false pretenses.  #collegescam,0.0,19,24,3/12/19 8:38,-0.4000000000000001,0.6
Parents spent anywhere from $200k to $6.5 million to guarantee admissions to elite schools for their children #AdmissionsScam,45.0,183,210,3/12/19 8:44,-0.1,0.1
The sad thing about it is there are students who are actually studying hard for the SAT/ACT and trying to find money to get into these schools to get a good education meanwhile these privileged mfs see it as a little game#collegescam pic.twitter.com/qvwjlxBFgz,4.0,32,165,3/12/19 9:14,-0.05583333333333336,0.5483333333333333
"As someone who worked her tail off and put herself through college and law school, the #collegescam case is pretty damn disgusting to me.",73.0,189,2.1K,3/12/19 9:16,-0.375,1.0
"The man at the center of the scandal, William Singer, has agreed to plead guilty, and well, he's singing.  Has agreed to cooperate with prosecutors. #collegescam #OperationVarsityBlues",8.0,89,198,3/12/19 9:16,-0.3,0.55
"The criminal complain is 200+ pages long and is a fascinating, shocking, and infuriating read at times. #collegescam #OperationVarsityBlues",7.0,31,57,3/12/19 9:24,-0.27,0.7200000000000001
"Ill let you in on a secret, kids (and parents): It doesnt matter where you go to college. Just try to keep your debt low and get decent grades, and youll be fine. #AdmissionsScam",14.0,38,234,3/12/19 9:39,-0.06333333333333334,0.6333333333333333
But they threw out a black girls legitimate SAT scores saying she must have cheated because she scored too high #CollegeScam pic.twitter.com/4oia299SxN,10.0,119,419,3/12/19 10:07,-0.003333333333333327,0.48666666666666664
"Im incredibly disappointed and very sad about it, but nothing surprises me anymore. I feel really bad for all the victims for sure. #ExtremeParenting #Cheating #CollegeAdmissionScam https://twitter.com/thetoyman1/status/1105535018481311744_",57.0,64,472,3/12/19 11:37,-0.3999999999999999,0.8263888888888888
"I have no sympathy for those involved in the #CollegeAdmissionsScandal. As soon as the PSAT was available to me, I took it annually. Honors/AP classes + service/activism/work. I was ALREADY tired when I got to college, only to be told I didnt work hard enough to get there.",46.0,310,2.0K,3/12/19 13:01,-0.058333333333333334,0.6283333333333333
Underrated take-away from the admissions indictments: Standardized tests are over-valued bullshit that actively harm marginalized students and are gamed by the wealthy to a point that makes them entirely useless as a metric of preparedness. #SAT #CollegeAdmissionsScandal #Testing,27.0,278,1.1K,3/12/19 13:03,-0.04444444444444443,0.6
"When you're already starting your kids at third base, there's no need to pay off the ump to let them steal home.#CollegeAdmissionsScandal https://twitter.com/cmclymer/status/1105497721862086656_",44.0,254,1.4K,3/12/19 13:13,-0.26666666666666666,0.3666666666666667
"Part of me feels like I shouldnt criticize the students that benefited from the #CollegeAdmissionsScandal because they may not have known about the actions of their parents, & the other part of me can almost HEAR them saying, My parents didnt help me get in. I did it myself.",65.0,67,626,3/12/19 13:50,-0.125,0.375
Im sorry- Jane Buckingham said what? #collegeadmissionsscandal pic.twitter.com/ceUJ8SfrPS,16.0,49,234,3/12/19 14:10,-0.5,1.0
"If your child is not gifted enough to get into a premium college, you are doing them a disservice by bribing their way in. They will learn nothing before, during, after, or enduring. Meanwhile, kids who deserve to be there will be turned away. #CollegeAdmissionsScandal",11.0,31,160,3/12/19 14:13,-0.125,0.75
Meanwhile Chuck Bass is sitting back laughing because Bart actually taught him how to cover his tracks  #collegeadmissionsscandal pic.twitter.com/1fP5DVsnmj,7.0,103,569,3/12/19 14:16,-0.05000000000000001,0.19999999999999998
"""In #highereducation, we reward the rich and privileged and penalize the poor."" - @saragoldrickrab @hope4college @TempleUniv @kresgedu @gatesfoundation @LuminaFound @stradaeducation #AdmissionsScam #IvyLeaguepic.twitter.com/dQ8z1T0sXO",0.0,33,76,3/12/19 14:17,-0.012500000000000011,0.675
"2/2...""And it shows how completely some people of means will exploit their advantage to perpetuate it for their children. So it's not surprising, but it's enraging and so very, very sad."" @FrankBruni author of ""Where You Go Isn't Who You'll Be."" #collegeadmissionsscandal",31.0,64,456,3/12/19 15:06,-0.3,0.6333333333333333
"""It's so sad, you are already three steps ahead with the wealth that you have, and you are taking opportunities from people who are underprivileged who work their butts off to try to get into the school."" @TheRealEve on the #collegeadmissionsscandal. pic.twitter.com/Jcrt8QnW2J",44.0,230,865,3/12/19 15:23,-0.5,1.0
"You mean to tell me, that someone with a sixth-grade vocabulary could get into Penn, if their daddy paid enough money? What evidence do we have to substantiate this, .@realDonaldTrump? #collegeadmissionsscandal",3.0,36,223,3/12/19 15:34,-0.12083333333333333,0.3958333333333333
"It's 1989. You're told that in 30 years, three out of four of these stars will have been criminally charged -- and one will be the U.S. President...facing possible criminal charges. How do you choose? #AuntBecky #AdmissionsScam #Hollywood $TV @Degganspic.twitter.com/cv9NcxvEIP",46.0,454,990,3/12/19 16:00,-0.26666666666666666,0.7000000000000001
"Non-disabled people abuse DISABILITY parking, disabled people punished  with restrictions on where and when folx can park.  #CollegeAdmissionsScandal #CivilRightsAreNotAVIPPass #CripTheVote",1.0,34,147,3/12/19 16:12,-0.2,0.3
"This scandal has triggered Black people & other PoC who worked their asses off to get into, pay for, get through & graduated college. Whose parents worked hard to pay for school or the MOUNTAIN of loans a lot of us have. Worked several jobs. #collegeadmissionsscandal",71.0,241,1.0K,3/12/19 16:16,-0.14583333333333331,0.3375
"Reasonable accommodations for standardized tests are already near impossible to get when you need them, this will only make it worse for disabled students. #collegeadmissionsscandal",26.0,160,647,3/12/19 16:26,-0.1611111111111111,0.65
"#collegeadmissionsscandal I guess Aunt Becky didnt pull herself up by her bootstraps like Black people are told to do. Having others take your kids SAT/ACT tests and bribe coaches to get them in USC,Yale etc.https://youtu.be/ESS0Ra-hW60",7.0,54,107,3/12/19 17:08,-0.16666666666666666,0.43333333333333335
The cost of bribing your way into Yale: $1.2 million. Includes a fake profile as a soccer player. http://on.wsj.com/2UtinP2 #collegeadmissionsscandal,6.0,78,129,3/12/19 17:26,-0.5,1.0
"The thing I havent heard about #collegeadmissionsscandal is that these kids were born with EVERY advantage and still couldnt excel, so whoever is still telling poor kids to pull themselves up by the bootstraps can shut the whole hell up.#inners",24.0,356,1.2K,3/12/19 17:37,-0.1,0.5
In all seriousness I view #CollegeScam as a misuse of federal law enforcement resources but after reading @willchamberlain's take about how all of the people arrested are liberals....Let's just say I'll save my energy to defend other people!,28.0,161,922,3/12/19 17:54,-0.15625,0.375
This #collegeadmissionsscandal is the pinacle of #HollywoodPrivilege and elitism... the idea that any parent would encourage their child to CHEAT... for what?! To get them into college?! PATHETIC. Any college that allowed that it overrated. This is a big wake up call!,115.0,678,2.3K,3/12/19 18:37,-0.5,0.55
This needs to be reported more Disabled students will be punished for this fraud.Disabled students will need to fight even harder for accommodations.Disabled students will be denied their civil rights.#CollegeAdmissionsScandal https://twitter.com/sfpelosi/status/1105624853317484544_,2.0,66,104,3/12/19 18:59,-0.04000000000000001,0.28
School accommodations are NOT a favor to #disabled students nor do they give them an advantage. They close the gap btwn abled students & disabled students whore forced to navigate an #education system set up to work against them. Theyre basic rights. #CollegeAdmissionsScandal,1.0,25,65,3/12/19 19:23,-0.17500000000000002,0.23125
#collegeadmissionsscandal Paying to have your kids indoctrinated with left-wing propaganda?,10.0,23,91,3/12/19 20:30,-0.1,0.1
"Disgusting #collegeadmissionsscandal Loughlin and her husband ""agreed to pay bribes totaling $500,000 in exchange for their two daughters designated as recruits to the USC crew team -- despite the fact that they did not participate in crew. https://abc7chicago.com/amp/actresses-ceos-charged-in-alleged-college-admissions-scam/5186103/#click=https://t.co/CTSPBMW1I6_",34.0,73,376,3/12/19 21:00,-1.0,1.0
Of all the things awful things in the #collegeadmissionsscandal  by far the worst is the fraudulent use of the IEP process to obtain accommodations to facilitate cheating. Massive damage to kids trying to get accommodations for actual disabilities. horrible & amoral in every way.,1.0,12,49,3/12/19 21:02,-0.48333333333333334,0.85
Me on SC KOR #35 about to get speared in the balls...half a million wasted #collegeadmissionsscandal pic.twitter.com/qQfVSFg2KZ,25.0,19,261,3/12/19 21:17,-0.2,0.0
Snow day tomorrow @ColoradoStateU so Im reading this 269 legal filing https://www.documentcloud.org/documents/5766243-College-Admissions-Case-Complaint.html_ in the #CollegeAdmissionsScandal now. Gonna post things that make me go hmmm or wtf in this thread... pic.twitter.com/fyB2NgEsgk,1.0,15,59,3/12/19 21:39,-0.15,0.6
Heres my grandfathers application to @UHouston. His father was a blacksmith and had little money. Carlos wasnt allowed into other colleges because he was Mexican American. He was also a WWII vet #collegeadmissionsscandal (1 of 4) pic.twitter.com/F7pbl6f3la,1.0,41,160,3/12/19 22:03,-0.078125,0.21875
"Look at this transcript about the testing scam. Look at how the parent & Singer joke about the kid being in the dark. You can send these people to jail, but how does the kid get their dignity back? Their sense of self? #admissionsscandal pic.twitter.com/wDWAzv9Rtl",10.0,13,50,3/12/19 22:18,-0.08333333333333333,0.13333333333333333
"As a student who has WORKED for her grades, poured ABSURD amounts of $$ into application fees/testing and WILL need financial aid in college, I am outraged about the state of our education system and you should be too #collegeadmissionscandalThank you for coming to my TED talk.",3.0,18,104,3/12/19 22:36,-0.4666666666666666,0.6666666666666666
Fuck these rich ass celebrities. Out here breaking laws and shit for even more millions when they already fucking make millions!! Us regular people out here fucking struggling for a little bit of money and jobs. #collegescam #CollegeCheatingScandal #FelicityHuffman #LoriLoughlin,48.0,105,558,3/12/19 23:25,-0.18125000000000002,0.6033653846153847
My folks used to be disappointed in me for not getting into an Ivy League school. But now Im disappointed in them for not coming up with the bribe money! #collegeadmissionsscandal,7.0,24,199,3/12/19 23:26,-0.84375,0.75
"Check the donor records for the defendants and the zip codes they lived in.The #CollegeScam people are all Hillary Clinton supporters.They think everyone else is trash, they look down on others, they will steal your childrens' futures.https://www.latimes.com/local/lanow/la-me-college-admissions-scale-elite-schools-20190312-story.html_",60.0,536,1.2K,3/13/19 0:23,-0.15555555555555559,0.2888888888888889
"Right. Even though the #CollegeScam people were all liberals, I didnt want them Roger Stone style arrested. We should all keep some of our humanity. These arent violent criminals. https://twitter.com/Spacebunny21/status/1105733142038614016_",31.0,86,256,3/13/19 0:33,-0.2571428571428572,0.7678571428571428
Im sad for #collegeadmissionsscandal  students. How does it feel when your parents say I have no confidence you can succeed in life without my money cheating for you. Thanks Mom & Dad for believing in me.,10.0,15,79,3/13/19 2:24,-0.15,0.6
Why are ppl paying $$$ for their kids to go to school? If you have the means to pay $500k in bribes...how about using that to nurture & support their PASSIONS? Help them start a business or teach them CHEATING and BRIBERY are bad. Lets start there?? #collegeadmissionsscandal,9.0,19,144,3/13/19 3:09,-0.6999999999999998,0.6666666666666666
"The universities in the #CollegeCheatingScandal are complicit. They lowered their standards to accommodate the fraud. Otherwise, the #collegescam kids would fail once they were in.",113.0,624,1.5K,3/13/19 4:14,-0.5,0.29999999999999993
Anyone who went to college met a stupid rich douche who you always wondered how they got in. No need to wonder anymore #collegeadmissionscandal,3.0,35,181,3/13/19 5:01,-0.21249999999999997,0.875
"The #collegeadmissionscandal is horrifying & an egregious example of inequity. Now that I have your attention, I hope y'all think abt some LEGAL inequities in #HigherEd like: Legacy admissionsMerit-based aidFocus on test scoresRecruitment probsUnpaid Internships",5.0,26,76,3/13/19 5:01,-0.16666666666666666,0.5333333333333333
"This latest #CollegeAdmissionsScandal might help explain how Obama got into Columbia. Normally you cannot transfer into an Ivy League school, and surely not with Obamas mediocre SAT and poor grades at Occidental. His talent is as a conman. But this con is yet to be revealed pic.twitter.com/VH3pFsWSGB",619.0,3.7K,6.4K,3/13/19 6:20,-0.1,0.8077777777777777
