content,replies,retweets,favorites,published_date,polarity,subjectivity
theyre producing snowflake protestors for 10s of thousands of $$$$ #CollegeScam https://twitter.com/WSJ/status/912980173099855872_,0.0,0,0,10/1/18 8:11,0.0,0.0
"If you think youve been defrauded by a college, here is what you should do. http://ow.ly/SyZ630m2HRl #CollegeScam @ScholarKeys",0.0,0,0,10/3/18 10:20,0.0,0.0
Joe Rogan and Geoffrey Miller Discusses Whether or Not College a Scam https://youtu.be/47FkE4ThwAc #joerogan #geoffreymiller #collegescam,0.0,0,0,10/7/18 9:06,0.0,0.0
This is why we can't get ahead.  Aunt Becky is stealing our kid's college slot.  #collegescam  https://abcn.ws/2UFcy0I,4.0,14,48,3/12/19 8:06,0.0,0.0
Largest college admissions cheating scam ever prosecuted by the Department of Justice. #lorilaughlin #felicityhuffman #sats @Yale @Stanford #admissionsscam,0.0,0,1,3/12/19 8:34,0.0,0.0
US Attorney Lelling announces charges in largest college recruitment scam #admissionsscam pic.twitter.com/sTK5lXaJSk,7.0,36,55,3/12/19 8:35,0.0,0.0
"Prosecutors holding press conference now.  Giving details of ""largest college admissions scam ever"" brought by Department of Justice. #collegescam",0.0,17,17,3/12/19 8:35,0.0,0.0
Conspiracy facilitated cheating on college entrance exams and admission of students to elite universities as purported recruited athletes #AdmissionsScam,0.0,38,37,3/12/19 8:37,0.0,0.0
"Defendants include university athletic coaches, college exam administrators, CEOs and actresses #AdmissionsScam",3.0,36,34,3/12/19 8:37,0.0,0.0
33 parents have been charged nationwide. #AdmissionsScam,10.0,69,97,3/12/19 8:39,0.0,0.0
There's possibly a kid out there who wasn't admitted to his/her dream school because their spot was taken by another kid whose momma and daddy made a 6-figure bribe. #collegescam #OperationVarsityBlues,38.0,253,843,3/12/19 9:30,0.0,1.0
There always has to be a #Floridaman in there somewhere. #collegeadmissionsscandal pic.twitter.com/IkgFm73JqA,17.0,58,399,3/12/19 9:52,0.0,0.0
"#Breaking Stanford University says it has fired sailing coach John Vandemoer. Vandemoer was charged with accepting a total of $270,000 in contributions to the school's program for agreeing to recommend two prospective students for admission @FOXLA #collegeadmissionsscandal",23.0,114,258,3/12/19 12:15,0.0,0.75
NOW I understand how David Hogg got into Harvard #AdmissionsScam,279.0,2.8K,7.8K,3/12/19 13:50,0.0,0.0
"If your kid needs their college admission to be bought for them, they shouldn't be in college. PERIODT. #CollegeAdmissionsScandal https://nyti.ms/2F8Km15",5.0,38,197,3/12/19 14:00,0.0,0.0
"This #collegeadmissionsscandal reminds me of that time George W. Bush Daddy got him into Yale, then made him Governor of Texas, then President, which led to GWB starting a 100 year war that cost several thousand US Soldiers & Civilians lives.",23.0,149,504,3/12/19 14:06,0.0,0.05
Does anybody think @realDonaldTrump got admitted to @Wharton school on merits of his grades?? #collegeadmissionsscandal,31.0,31,171,3/12/19 14:35,0.0,0.0
"""Can we just stop pretending like this is a country built on merit,"" @AnaKasparian says on #tytlive, ""it's not. I don't know if it ever has been...""#collegeadmissionsscandal https://twitter.com/TheYoungTurks/status/1105591543375642624_",36.0,120,394,3/12/19 15:15,0.0,0.0
But this tweet from #LoriLoughlin last year.  #AdmissionsScam #collegeadmissionsscandal #USCpic.twitter.com/x2KOFFlgGp,9.0,54,162,3/12/19 16:47,0.0,0.06666666666666667
So #LoriLoughlin deleted her Twitter but I unearthed it even though I went to a state school #collegeadmissionsscandal pic.twitter.com/7hDvnIDx3k,12.0,26,144,3/12/19 17:16,0.0,0.0
Cmon white people_youre not privileged enough?! #OperationVarsityBlues #CollegeAdmissionsScandal https://twitter.com/FrankBruni/status/1105569518301179904_,28.0,19,121,3/12/19 17:27,0.0,0.25
#CollegeAdmissionsScandal. I would like to assure everyone that I was admitted into college solely on my merits.  #CatsOfTwitterpic.twitter.com/L1UXFJUoFq,46.0,143,968,3/12/19 17:37,0.0,0.0
"When I went to college students feared getting caught cheating.   Today parents get caught.Kids, today, cant do anything for themselves. GC ##collegescam #collegeadmissionsscandal",28.0,139,613,3/12/19 17:49,0.0,0.0
Felicity Huffman - another example of Hollywood hypocrisy   #collegescam pic.twitter.com/tPeoCZ1Hj0,30.0,104,222,3/12/19 18:15,0.0,0.0
The Racist Beginnings of Standardized Testing http://www.nea.org/home/73288.htm #CollegeAdmissionsScandal #HigherEd,6.0,194,388,3/12/19 18:27,0.0,0.0
Coming up shortly on @CNNTonight with @donlemon to talk this #collegeadmissionsscandal Tune in. pic.twitter.com/rokRJqwchC,27.0,28,169,3/12/19 18:29,0.0,0.3
Im not the only one ashamed of Aunt Becky Im guessing! #LoriLoughlin #BigHouse #FelicityHuffman #collegescam pic.twitter.com/zGGS1MCDqG,5.0,59,159,3/12/19 18:31,0.0,1.0
"Alexa, show me some kids whose Dad had to pay a college to admit them... #collegeadmissionsscandal #CollegeCheatingScandalpic.twitter.com/DtpIW45EXP",45.0,207,736,3/12/19 19:03,0.0,0.0
Every student that got in because of this scam should be kicked out (if a current student) or should have their diploma rescinded (if they already graduated) #collegescam https://twitter.com/CNN/status/1105634600049668097_,14.0,22,115,3/12/19 19:12,0.0,0.4
"You could be a POC, attend an Ivy League, get your seat at the table, and they will still question your existence. - @TiffanyDCross #cnn #collegeadmissionsscandal",12.0,43,182,3/12/19 19:37,0.0,0.0
"And y'all know damn well that folks will not bat an eye at these white ass schools letting students bribe their ways in, but I bet your ass if these schools has been HBCU's, government funding would have been  yanked immediately.#collegeadmissionsscandal",39.0,301,1.1K,3/12/19 19:40,0.0,0.0
I just knew there was a #floriduh connection to the #collegeadmissionsscandal https://abcnews.go.com/US/mark-riddell-man-allegedly-exams-cheating-students-smart/story?id=61641180_ #CollegeCheatingScandal #CollegeGate,9.0,33,76,3/12/19 19:41,0.0,0.0
