content,replies,retweets,favorites,published_date
"#Hackathon @ #UCLA!! ‰_@LAHacks‰© is a collection of undergraduate, graduate, & post doctoral candidates. This weekend they will spend a period of 72-hrs building business ideas using ‰_@OracleIaaS‰©. #computerscience #CloudComputing #developers #goBruins #goOCI  pic.twitter.com/uCx6ujVJOW",1,1,4,3/29/2019 15:16
So many storylines to follow as #UCLA spring practice resumes... https://twitter.com/gojoebruinucla/status/1113139297266229248åÊ‰Û_,0,0,2,4/2/2019 11:03
"""It's been my dream school for a while."" -- That's what this Murrieta Valley outside linebacker told us after getting his #UCLA offer:  https://247sports.com/college/ucla/Article/UCLA-a-Dream-Offer-for-SoCal-Linebacker-129994971/åÊ‰Û_",0,7,78,3/13/2019 10:23
#UDub and #UCLA among the schools DB Makell Esteen is interested in early in the process https://rvls.co/2Bko1v2åÊpic.twitter.com/g2t5I6ufBC,0,10,27,2/5/2019 12:42
"Still not sure if Rick Pitino to #UCLA is realistic possibility, but it‰Ûªs getting harder to ignore.

https://www.google.com/amp/s/www.dukebasketballreport.com/platform/amp/2019/1/1/18163753/rick-pitino-is-a-problematic-hire-but-still-uclas-best-option-ncaa-basketballåÊ‰Û_",12,2,15,1/1/2019 15:09
What did you discover about film in creating your first short??? #UCLA #FilmSchool #TFT #UCLAFilmSchoolpic.twitter.com/nbo8DZleHe,0,4,11,1/2/2019 17:51
"Today's the day! It's #MeetDay between No. 1 @OU_WGymnastics and No. 2 #UCLA! Tune in to @ESPN at 12pm CT/10am PT. 

#GoBruinspic.twitter.com/gsnRUwLjlq",6,34,290,3/3/2019 7:00
Had an amazing time #UCLA @CoachJimmieDpic.twitter.com/SrLq8KeXPK,1,33,174,2/18/2019 16:04
"CALL for PROPOSALS: @ChallengeIneq invites applications from #UCLA graduate student working groups to support research & public scholarship related to the Institute‰Ûªs key research themes. Awards up to $1,000 w/May 1 deadline. Eligibility & application https://bit.ly/2ECBJKHåÊpic.twitter.com/3YxGgae9B9",0,6,16,4/2/2019 14:27
"‰ÛÏThis is not just a phenomenon that happens to the stars, the guys who play in every game. It happens to the guys you never heard of.""

Former #UCLA RB Rod Stensrud,  was diagnosed with Alzheimer's at age 55 and died 5 years later. Read his story:

https://www.mercurynews.com/2019/01/02/something-is-wrong-with-my-brain-life-after-football-for-a-one-time-bay-area-star/åÊ‰Û_",0,2,11,1/2/2019 13:48
"Give #UCLA fans a break. Back when Dan Guerrero started this coaching search, Cincinnati's head coach was still Bob Huggins.",0,0,5,4/1/2019 17:02
