•ÈÀweb-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554328934-3588,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@sixhuesblog,SixHues,"Asian American/Ethnic Studies Programs have always struggled for recognition & support since the ‰Û÷60‰Ûªs.  The withdrawal by 13 faculty withdrew from Yale‰Ûªs Program of Ethnicity, Race and Migration is a powerful statement that people demand a real commitment. #yale @yaledailynewshttps://twitter.com/cesyale/status/1112735251191791619åÊ‰Û_",0,0,1,1.55E+12,4/1/2019 16:35,/sixhuesblog/status/1112861132992208896
1554328934-3635,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@AoAmerican,All American,"Wow, we all know how they attained ‰ÛÏLiberal Elite‰Û status now.  
 
#collegeadmissionsscandal #Yale Aunt Becky says ‰ÛÏLet the eat cake‰Û https://twitter.com/MarketWatch/status/1105614547258363904åÊ‰Û_",0,29,31,1.55E+12,3/12/2019 16:49,/AoAmerican/status/1105616809804341249
1554328934-3617,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@steph_add,Stephanie Addenbrooke Bean,Throwback to when @Yale_Basketball was last at March Madness. These are some of my favorite pictures that I took for @YDNsports @yaledailynews #highlights #GoBulldogs #yale pic.twitter.com/HtlUpz9Wo1,0,1,13,1.55E+12,3/21/2019 5:08,/steph_add/status/1108701803573587968
1554328934-3605,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Hearing4Kids,Sebastian Hendricks,"RT briandavidearp: RT Latinohistory: The ""obligation at hand is a moral one."" In a unanimous op-ed, the Yale Daily News reminds #Yale it must support Ethnic Studes and fully enfranchise the ER&M program after 22 years. https://yaledailynews.com/blog/2019/04/01/news-view-in-solidarity-with-erm/?fbclid=IwAR0ExyEsvvrYgbdVhdDl_YqZGhDAHLud1K2Nj_Ak0whlQcZgrt7dzXlPQLEåÊ‰Û_",0,0,0,1.55E+12,4/1/2019 17:52,/Hearing4Kids/status/1112880346947837952
1554328934-3628,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@ChrisHale26,Chris Hale,#williamsinger gave everybody up! The definition of snitch is gonna have his picture on it. You got $25 mill from everybody & still gave them up #smh #usc #ucla #yale #stanford #AdmissionsScam take the wrap and cut up the paper trail!!,4,1,9,1.55E+12,3/14/2019 12:29,/ChrisHale26/status/1106276113804726272
1554328934-3595,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Schultz_Report,Jordan Schultz,"Hollywood Naz Reid is a grown man 
#LSU #Yale #MarchMadness #SCtop10 @NazReidpic.twitter.com/dAZDEBZz1D",1,2,9,1.55E+12,3/21/2019 10:09,/Schultz_Report/status/1108777666235248640
1554328934-3596,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@UScollegelab,US College Lab,.@yale deciding to side with religious persecution....unless they are ending all stipends. All Ivies are not equal. Choose @princeton or @upenn ...perhaps definitely NOT #YALE  @dartmouthhttps://thefederalist.com/2019/04/01/yale-law-school-yanks-stipends-students-work-christian-firms/?fbclid=IwAR2iTvZgpTgSPNwCJLZbKoqSmdLw5mim1X8sP96BF5BwgZIvTWbfVXn0vPs#.XKI6nvBJ6mU.twitteråÊ‰Û_,0,0,0,1.55E+12,4/1/2019 17:35,/UScollegelab/status/1112876132657815552
1554328934-3652,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@AllDMines,David Mines,At #Yale for #ivyleague #fencing. Ran into @JessicaC345 one of the best in the business!pic.twitter.com/4KgXNaaKF2,1,2,59,1.55E+12,2/9/2019 10:31,/AllDMines/status/1094302742905016320
1554328934-3619,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@MikePucciHCTMG,Mike Pucci,"#Yale men‰Ûªs notebook: #NewHaven‰Ûªs Tobe Carberry views Yale differently now as assistant coach
Via @DaveBorgeshttps://www.nhregister.com/colleges/article/Yale-men-s-notebook-New-Haven-s-Tobe-13704579.phpåÊ‰Û_",0,5,7,1.55E+12,3/20/2019 17:29,/MikePucciHCTMG/status/1108525881880911873
1554328934-3667,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@SkysTheLimitWR,Margin Hooks,"Off-season work with a few of my college and college bound players
#Hookem #Illini #Yale #TxSt #D1Bound
#SkysTheLimitpic.twitter.com/4tWfqtFlw0",1,10,34,1.55E+12,1/9/2019 22:23,/SkysTheLimitWR/status/1083247890510815232
1554328934-3638,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@halltoons,Ed Hall,Thanks for sharing! #collegeadmissionsscandal #harvard #FelicityHuffman #Yale @laloalcaraz @co_rapunzel4 @PSampsonHowes @MaggieJordanACNpic.twitter.com/DfwPOWCjfZ,4,44,57,1.55E+12,3/12/2019 15:04,/halltoons/status/1105590435672719368
1554328934-3606,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Schultz_Report,Jordan Schultz,"Miye Oni has struggled today, but he possesses many traits of a two-way NBA wing. On display here is his explosive first step, direct-line drive and finishing ability. 
#Yale #LSU #MarchMadnesspic.twitter.com/Vubh0c7j9F",0,2,3,1.55E+12,3/21/2019 11:43,/Schultz_Report/status/1108801350492712961
1554328934-3650,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@mzalnieriute,Monika Zalnieriute,"My latest paper on human rights obligations by non-state actors in the digital age soon coming out in #Yale Journal of Law & Technology! Happy to get into US journal for the first time, and you can read accepted version on SSRN or 
https://unsw.academia.edu/MonikaZalnieriuteåÊ‰Û_.pic.twitter.com/w6NGwt2bCo",1,5,18,1.55E+12,2/13/2019 12:34,/mzalnieriute/status/1095783300495360000
1554328934-3642,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@lesleyabravanel,Lesley Abravanel,"My husband is from Sweden so he confuses his y's with his j's. When I told him a friend of mine was going to #Yale, he said, what crime did she commit? Now the whole Jail/Yale thing may make more sense. Yikes.  #OperationVarsityBlues",7,8,114,1.55E+12,3/12/2019 9:35,/lesleyabravanel/status/1105507572256260097
